l, n, E
0, 0, 1.499999999953
0, 1, 3.499999999144
0, 2, 5.499999999940
0, 3, 7.499999894857
0, 4, 9.499999993457
0, 5, 11.499999999903
0, 6, 13.499999991168
1, 0, 2.499999999696
1, 1, 4.499999999653
1, 2, 6.499999999508
1, 3, 8.499999999139
1, 4, 10.499999895612
1, 5, 12.499999907487
1, 6, 14.499999998322
2, 0, 3.499999984029
2, 1, 5.499999999254
2, 2, 7.499999999953
2, 3, 9.499999987009
2, 4, 11.499999999774
2, 5, 13.499999986017
2, 6, 15.499999999925
3, 0, 4.499999950157
3, 1, 6.499999999930
3, 2, 8.499999998612
3, 3, 10.499999999969
3, 4, 12.499999999972
3, 5, 14.499999999817
3, 6, 16.499999998076
